tri_facility_id,facility_name,city_name,state_abbr,region_code,public_email
27409MPNCB719PE,TE CONNECTIVITY - PEGG ROAD,GREENSBORO,NC,4,MICHELLE.KAREIS@TE.COM
3764WCLRWR151ID,COLORWORKS INC,ELIZABETHTON,TN,4,SAM@COLORWORKS.COM
36105HGRHN150FO,HAGER COS,MONTGOMERY,AL,4,LROHRBACH@HAGERCO.COM
01821MRCNS829MI,AMERICAN SCIENCE & ENGINEERING,BILLERICA,MA,1,LSCAGLIONE@RAPISCAN.COM
35616RCCRBPOBOX,MESSER LLC,CHEROKEE,AL,4,PHILLIP.JAMISON@MESSER-US.COM
44105FRRCR4150E,VIBRANTZ CORP,CLEVELAND,OH,5,ANDREA.SIMONIN@VIBRANTZ.COM
77833CLNRS2001E,QUESTSPECIALTY CORP,BRENHAM,TX,6,MITCHW@QUESTSPECIALTY.COM
49022SMTCN470NP,PRIMETALS TECHNOLOGIES USA LLC,BENTON HARBOR,MI,5,DANIE.DEVAPIRIAM@PRIMETALS.COM
55720PTLTCNORTH,SAPPI CLOQUET LLC,CLOQUET,MN,5,APRIL.JONES@SAPPI.COM
14845HRDNG3575O,FORKARDT HARDINGE,ELMIRA,NY,2,CHRISTOPHER.LUNDGREN@FORKARDTHARDINGE.COM
42420GBBSDUS60W,GIBBS DIE CASTING CORP,HENDERSON,KY,4,KEITH.SUTTON@GIBBSDC.COM
2383WSBRDP159SA,SABRA DIPPING CO LLC,COLONIAL HEIGHTS,VA,3,JFRISCO@SABRA.COM
77640FNLNDHIGHW,TOTALENERGIES PETROCHEMICALS & REFINING USA INC-PORT ARTHUR,PORT ARTHUR,TX,6,KRISTOPHER.BEARD@TOTALENERGIES.COM
92355BNNZL11711,SIERRA ALUMINUM CO PLANT II,FONTANA,CA,9,MIGUEL.ARMETA@SAMUEL.COM
45231PRKWY10293,AXILLON AEROSPACE (ERLANGER) LLC,CINCINNATI,OH,5,EMILY.RAY@PARKER.COM
14432GWLSK2SOUT,GW LISK CO INC,CLIFTON SPRINGS,NY,2,AHAWKER@GWLISK.COM
02184WLLST205WO,WOLLASTON ALLOYS,BRAINTREE,MA,1,DREW.DEFAZIO@CPPCORP.COM
49015PRNYF126BR,PRARIE FARMS DAIRY INC,BATTLE CREEK,MI,5,JEMERY@PRAIRIEFARMS.COM
95828CRMCR59508,CHROME CRAFT,SACRAMENTO,CA,9,SAFETY@CUTTINGEDGESUPPLY.COM
16749QKRSTINTER,INTERNATIONAL WAXES INC,SMETHPORT,PA,3,DGOLDSMITH@IGIWAX.COM
75041CRRLL2900W,CARROLLCLEAN LLC,GARLAND,TX,6,RKEELER@FGLGROUP.COM
83338JRMCH47W10,AGROPUR,JEROME,ID,10,ERIC.GRACIDA@AGROPUR.COM
85281GLDTC1450E,GOLD TECH INDUSTRIES - AEROSPACE/TELECOMMUNICATIONS DIVISION,TEMPE,AZ,9,MARK_DUSCHEK@C-HAWK.COM
30188NTRNT308BE,BOCA MFG,WOODSTOCK,GA,4,AMCCOY@BOCAMFG.COM
43055NMTCC1650T,ANOMATIC CORP,NEWARK,OH,5,CSTOLER@ANOMATIC.COM
3731WPLRTC31IND,POLARTEC TENNESSEE MANUFACTURING,CLEVELAND,TN,4,BETSY.SIKMA@MILLIKEN.COM
01930CBFSK18KON,CB FISK INC,GLOUCESTER,MA,1,CARLKLEIN@CBFISK.COM
0810WKRSHN1HLTE,KRISHNA P.SINGH TECHNOLOGY CAMPUS,CAMDEN,NJ,2,CHADCODA@HOLTECMFG.COM
03856THKNGROUTE,HUTCHINSON SEALING SYSTEMS INC,NEWFIELDS,NH,1,GARY.SMART@HUTCHINSON.COM
54476CRYST2608R,CRYSTAL FINISHING SYSTEMS INC,SCHOFIELD,WI,5,LEE.BERGMANN@CRYSTALFINISHING.COM
98270RCLLN12806,C&D ZODIAC INC,MARYSVILLE,WA,10,CESAR-A.GONZALEZ-R@SAFRANGROUP.COM
2808WBCKYFPBX42,BUCKEYE FIRE EQUIPMENT,KINGS MOUNTAIN,NC,4,JVALENTINE@BUCKEYEF.COM
32905FRRSR2210W,FAR RESEARCH INC. (DBA FAR CHEMICAL INC.),PALM BAY,FL,4,BSAUTTER@FAR-CHEMICAL.COM
03062TRDYN4PITT,AMPHENOL APC INC,NASHUA,NH,1,KWHITCOMB@AMPHENOL-APCBT.COM
45216FRSFR110EA,GIVAUDAN FLAVORS CORP,CINCINNATI,OH,5,CARLA.LANDON@GIVAUDAN.COM
01752SHPLY455FO,DUPONT ELECTRONIC MATERIALS INTERNATIONAL LLC,MARLBOROUGH,MA,1,ELLEN.MAGER@DUPONT.COM
03801SMPLX4023W,SUBCOM CABLE SYSTEMS LLC,NEWINGTON,NH,1,KNEWBURY@SUBCOM.COM
48220GGPRD625WA,GAGE PRODUCTS CO,FERNDALE,MI,5,BHARDEN@GAGEPRODUCTS.COM
01950NNSPC3MALC,UNION SPECIALTIES INC,NEWBURYPORT,MA,1,JOEMARSHALL@UNIONSPECIALTIESINC.COM
84087CRYSN2355S,SILVER EAGLE REFINING WOODS CROSS,WOODS CROSS,UT,8,BZWAHLEN@SILVEREAGLEREFINING.COM
06492MRCNCSOUTH,ALLNEX USA INC. WALLINGFORD CT SITE,WALLINGFORD,CT,1,VIRGINIA.RYAN@ALLNEX.COM
54216THVLL23KIL,VOLLRATH CO LLC,KEWAUNEE,WI,5,JGIRARD@VOLLRATHCO.COM
77253FMCWL1777G,FMC ENERGY SYSTEMS,HOUSTON,TX,6,AYUK.ETTA@TECHNIPFMC.COM
99337SNDVKCHEMI,ALLEIMA SPECIAL METALS LLC,KENNEWICK,WA,10,DEVIN.JOHNSTON@ALLEIMA.COM
2945WTTKLB413CA,LINCOLN ELECTRIC-LADSON (KALIBURN INC.),LADSON,SC,4,JESSE_WILSON@LINCOLNELECTRIC.COM
46526BNTLR910SE,GROUPER WILD LLC DBA SHILOH HOT STAMPING,GOSHEN,IN,5,JOSEPH.ARCHER@SHILOH.COM
56511TMNDSFRTHR,TEAM INDUSTRIES-AUDUBON,AUDUBON,MN,5,PATMURRAY@TEAM-IND.COM
93662FRSNV7736E,FRESNO VALVES & CASTINGS INC.,SELMA,CA,9,KEVINCF@FRESNOVALVES.COM
9300WMGNSN199KN,MAGNUSON SUPERCHARGERS,VENTURA,CA,9,TFOSTER@MAGNUSONSUPERCHARGERS.COM
60174SYSTM3825O,SYSTEM SENSOR/HONEYWELL,SAINT CHARLES,IL,5,DAVID.GEORGE2@HONEYWELL.COM
27604MLLNC8801N,MALLINCKRODT PHARMACEUTICALS,RALEIGH,NC,4,TIM.ROBERTS@MNK.COM
81001SHLND250WI,FUJIFILM ELECTRONIC MATERIALS U.S. INC.,PUEBLO,CO,8,KALISHA.SIMPSON@FUJIFILM.COM
60007PNRYC1801E,PENRAY COS INC,ELK GROVE VILLAGE,IL,5,MATT.CARTER@PLZCORP.COM
72209TRNRC691IN,HILAND DAIRY,LITTLE ROCK,AR,6,MFLAGG@HILANDDAIRY.COM
94086SRRPR1108W,SIERRA CIRCUITS INC (DBA SIERRA PROTO EXPRESS),SUNNYVALE,CA,9,HAID@PROTOEXPRESS.COM
15145STLDN200BR,HOLTEC MANUFACTURING,TURTLE CREEK,PA,3,RROTHRAUFF@HOLTECMFG.COM
06076CNNCXRIVER,3M PURIFICATION INC,STAFFORD SPRINGS,CT,1,RMPOWELL@MMM.COM
4968WGRNDT1677P,GRAND TRAVERSE STAMPING,TRAVERSE CITY,MI,5,JOSEPH.DEERE@MOTHERSON.COM
49093DYNTR111DA,DAY INTERNATIONAL INC A FLINT GROUP CO,THREE RIVERS,MI,5,JOHN.HODGES@FLINTGRP.COM
77017MBLCH9822L,INVISTA HOUSTON,HOUSTON,TX,6,ERIN.THORNTON@INVISTA.COM
30103LGCHM31LGD,LX HAUSYS AMERICA INC,ADAIRSVILLE,GA,4,JACQUESHALL@LGHAUSYS.COM
27403MRFLX2110H,AURORIUM LLC - GREENSBORO,GREENSBORO,NC,4,ESHORE@AURORIUM.COM
37644SNPNTSTATE,SNAP-ON TOOLS CO,ELIZABETHTON,TN,4,DAVID.A.BELLESSA@SNAPON.COM
3380WSLDST281SA,SOLID START INC,LAKELAND,FL,4,FERRY@SOLIDSTART.COM
1755WGRNRN165ST,GREINER INDUSTRIES INC,MOUNT JOY,PA,3,INFO@GREINERINDUSTRIES.COM
32078GRGPCSTATE,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,PALATKA,FL,4,JOSEPH.WEBSTER@GAPAC.COM
02905MNRCH189GE,MONARCH METAL FINISHING CO. INC.,PROVIDENCE,RI,1,SDIPRETE@MONARCHMETFIN.COM
29636RYMTLBOX38,ROY METAL FINISHING CO INC,GREENVILLE,SC,4,JPAZDAN@RMF-SC.COM
0292WPXSTC21STA,EPOXIES ETC.,CRANSTON,RI,1,JVASQUEZ@MERIDIANADHESIVES.COM
72902KFDSNREEDL,OK FOODS-FT SMITH,FORT SMITH,AR,6,JESSE.WEDDLE@OKFOODS.COM
44024LSTCH160PA,LANXESS CORP PLANT 2,CHARDON,OH,5,BERT.MOLZON@LANXESS.COM
48043DPNTM400GR,AXALTA COATING SYSTEMS USA LLC-MOUNT CLEMENS PLANT,MOUNT CLEMENS,MI,5,JOSEPH.MARECIC@AXALTACS.COM
14304THGDY5408B,GOODYEAR TIRE & RUBBER CO,NIAGARA FALLS,NY,2,DEREK_SHERMAN@GOODYEAR.COM
48150MBSTN31770,COUNTRY FRESH LLC,LIVONIA,MI,5,BRUCE_EVANS@DEANFOODS.COM
34294PRDYN8550U,DASAN ZHONE SOLUTIONS INC,LARGO,FL,4,NKATTE@ZHONE.COM
90280TCHNC11220,TECHNI-CAST CORP,SOUTH GATE,CA,9,DON@TECHNI-CAST.COM
1630WWBCND363SE,WEBCO INDUSTRIES INC. OIL CITY TUBE DIV,OIL CITY,PA,3,CBEERS@WEBCOTUBE.COM
53929WLKRS902SE,WABASH (WALKER STAINLESS EQUIPMENT CO),ELROY,WI,5,ZACHARY.HOBBICK@ONEWABASH.COM
17331SKFBRRD3BO,SKF USA INC HANOVER PLANT,HANOVER,PA,3,MARGARET.HUFF@KRS.US
75050SRGRD23501,GEMINI COATINGS INC. OF GRAND PRAIRIE,GRAND PRAIRIE,TX,6,JASONM@GEMINI-COATINGS.COM
0183WJHNSN3BNDS,THERMO FISHER SCIENTIFIC CHEMICALS INC,WARD HILL,MA,1,KEVIN.WILLSIE@THERMOFISHER.COM
53119GNRCP211MU,GENERAC POWER SYSTEMS INC-EAGLE,EAGLE,WI,5,BILL.PEARCE@GENERAC.COM
3762WTRCTY161AR,TRI-CITY EXTRUSION,BRISTOL,TN,4,BRENT.PRITCHARD@TRICITYEXTRUSION.COM
91504CRNCM3000W,HYDRO-AIRE AEROSPACE CORP.,BURBANK,CA,9,SANTIAGO.RAMIREZCASTRO@CRANEAE.COM
27533PVNRT1200A,SPX FLOW TECHNOLOGY SERVICES INC,GOLDSBORO,NC,4,JIMMY.TAYLOR@SPXFLOW.COM
06001RFLXT120DA,ORAFOL AMERICAS INC,AVON,CT,1,MICHAEL.ARSENAULT@ORAFOL.COM
63070DWCHMDOWIN,DDP SPECIALTY ELECTRONIC MATERIALS US LLC,PEVELY,MO,7,RYAN.R.OSTERMAN@DUPONT.COM
77805LNCXX615CA,MW MANUFACTURERS INC.,BRYAN,TX,6,TODD.HARBOUR@CORNERSTONE-BB.COM
02780VSTNT585JH,V&S TAUNTON GALVANIZING LLC,TAUNTON,MA,1,ANDREWV@HOTDIPGALV.COM
9213WTLDYN9855C,TELEDYNE INSTRUMENTS INC DBA TELEDYNE IMPULSE,SAN DIEGO,CA,9,JOSHUA.MACHTOLFF@TELEDYNE.COM
33810KYMRK2540K,KEYMARK CORP. OF FLORIDA,LAKELAND,FL,4,JCRENNA@KEYMARKCORP.COM
36105HYNDM7HYUN,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC,MONTGOMERY,AL,4,RBURNS@HMMAUSA.COM
4817WWBSTR142NB,WEBASTO ROOF SYSTEMS INC.,PLYMOUTH,MI,5,TYRONE.WILLIAMS@WEBASTO.COM
28086CMMRC101CA,PARKER HANNIFIN - GPD,KINGS MOUNTAIN,NC,4,CRAIG.SOMMERS@PARKER.COM
73036GMNLC101SW,GEMINI COATINGS INC,EL RENO,OK,6,JASONM@GEMINI-COATINGS.COM
30125HNKLC701WI,RG DISPERSANTS USA LLC,CEDARTOWN,GA,4,ROSA.PERES@ARCLIN.COM
27292PPGNDNEWJE,ELECTRIC GLASS FIBER AMERICA LLC,LEXINGTON,NC,4,KATIE.LUEBCHOW@NEG-US.COM
01260MDSPCWILLO,ONYX SPECIALTY PAPERS INC. - WILLOW MILL,SOUTH LEE,MA,1,ABEGROWICZ@ONYXPAPERS.COM
49221NXTDS1571W,W2 FUEL LLC,ADRIAN,MI,5,RSTROM@W2FUEL.COM
46176RYBDC800MA,RYOBI DIE CASTING (USA) INC.,SHELBYVILLE,IN,5,RYAN.WILLHELM@RYOBI.COM
70734RBCNN9156H,RUBICON LLC,GEISMAR,LA,6,MICHELLE_B_EAGLIN@HUNTSMAN.COM
31408NTRCT115EL,JOHNSON MATTHEY PROCESS TECHNOLOGIES INC,SAVANNAH,GA,4,JEFFREY.FELKER@MATTHEY.COM
0850WLLNTW165CU,ALLENTOWN LLC,ALLENTOWN,NJ,2,ACLINE@ALLENTOWNINC.COM
80634LVLND14520,LOVELAND PRODUCTS,GREELEY,CO,8,DANI.RIGG@NUTRIEN.COM
50703DVNCD2825M,ADVANCED HEAT TREAT CORP.,WATERLOO,IA,7,ROBINSONJ@AHTCORP.COM
98168FRWST4522S,FARWEST PAINT MANUFACTURING CO,TUKWILA,WA,10,BRIAN@FARWESTPAINT.COM
76504CNTRF3320P,CENTRIFUGAL CASTINGS,TEMPLE,TX,6,SKRUPPA@CENTRIFUGAL.NET
13476DRYLCWARDS,H. P. HOOD LLC,VERNON,NY,2,LISA.WATSON@HPHOOD.COM
28315CRLNGSR207,ERICO INTERNATIONAL CORP,ABERDEEN,NC,4,KATRINA.CLARK@NVENT.COM
67460MNVLLCOUNT,JOHNS MANVILLE,MCPHERSON,KS,7,BLAKE.POTTER@JM.COM
62881RDCBR1015S,RADIAC ABRASIVES INC,SALEM,IL,5,DGRAFTON@RADIAC.COM
37744TRWNCSNAPP,PARKER HANNIFIN CORP,GREENEVILLE,TN,4,CRAIG.SOMMERS@PARKER.COM
06239THDLT39WAU,HUTCHINSON PRECISION SEALING SYSTEMS INC,DANIELSON,CT,1,CVIOLETTE1220@ATT.NET
43537NTRCN434WD,ANATRACE,MAUMEE,OH,5,MIKE_REESE@ANATRACE.COM
9205WNNSTN4115A,SOLECTA INC.,OCEANSIDE,CA,9,DOUG.JOHNSON@SOLECTAMEMBRANES.COM
20774NWDWN16001,NEW DAWN MANUFACTURING CO,UPPER MARLBORO,MD,3,CHRISTOPHER.SWENSEN@DAYCON.COM
3760WLMTXX167RW,ALEMITE,JOHNSON CITY,TN,4,ELIZABETH.FRYE@SKF.COM
98134LSKNC32006,ALASKAN COPPER WORKS,SEATTLE,WA,10,CARLV@ALASKANCOPPER.COM
5061WWLSRN71CHA,O'NEAL MANUFACTURING SERVICES DBA IOWA LASER,CEDAR FALLS,IA,7,CWOOD@ONEALMFG.COM
49007KLSCN3713W,KALSEC INC,KALAMAZOO,MI,5,IKENNEDY@KALSEC.COM
5475WTLSRSW1899,BADGER MINING CORP MERRILLAN COATING PLANTS,MERRILLAN,WI,5,TTHOMA@BADGERMININGCORP.COM
6306WMTCNC11JEF,ASPEQ HEATING GROUP LLC,PACIFIC,MO,7,TOLMSTED@ASPEQHEATING.COM
84104TWDMB1847S,ATWOOD MOBILE PRODUCTS,SALT LAKE CITY,UT,8,TOM.CHRISTOPHEL@DOMETIC.COM
71360DRWDTWADLE,STELLA-JONES CORP,PINEVILLE,LA,6,LPOMES@STELLA-JONES.COM
76712CCCLF8400I,REFRESCO BEVERAGES US WACO PLANT,WACO,TX,6,TROY.CUMMINS@REFRESCO.COM
84115DCRPR2645S,EDO CORP WESTERN DIV,SALT LAKE CITY,UT,8,TANNER.SCOTT@L3HARRIS.COM
45036SCHMD360HA,MIDMARK CORP,LEBANON,OH,5,JMCELDOWNEY@MIDMARK.COM
43606BTLSP2112S,LRBG CHEMICALS (USA) INC,TOLEDO,OH,5,ROBERT.GORDON@LRBGCHEMICLAS.COM
44117LNCLN22801,THE LINCOLN ELECTRIC CO,EUCLID,OH,5,BRUCE_CHANTRY@LINCOLNELECTRIC.COM
27709SCMMT2601W,SCM METAL PRODUCTS INC,RESEARCH TRIANGLE PARK,NC,4,RUDI.JANSEN@KYMERAINTERNATIONAL.COM
01757BNJMN49SUM,BENJAMIN MOORE & CO-MILFORD,MILFORD,MA,1,SCOTT.KAPLAN@BENJAMINMOORE.COM
44203MLCPR361FA,MALCO PRODUCTS INC,BARBERTON,OH,5,GREGG.NEWSOME@MALCOPRO.COM
27261MRSHF1001S,MARSH FURNITURE CO,HIGH POINT,NC,4,BBRASWEL@MARSHFURNITURE.COM
9363WBLTMR15341,BALTIMORE AIRCOIL CO,MADERA,CA,9,JBERRY@BALTIMOREAIRCOIL.COM
02780PMSTR355CO,AIRBORN ELECTRONICS INC,TAUNTON,MA,1,GOSSNERS@AIRBORN.COM
45309MCGRG365CA,MCGREGOR ASSOCIATES INC,BROOKVILLE,OH,5,DSCHMIDT@MCGREGOR-SURMOUNT.COM
36193RHMMN2600E,RHEEM MANUFACTURING WATER HEATER DIV,MONTGOMERY,AL,4,PHILLIP.PURNELL@RHEEM.COM
4206WNVNSY939SU,SIEMENS INDUSTRY INC,MARION,KY,4,CHRISTINE.HIGDON@SIEMENS.COM
7601WHNTSM3315E,HUNTSMAN BUILDING SOLUTIONS,ARLINGTON,TX,6,BSTENZEL@HUNTSMANBUILDS.COM
44138MRCNW7951B,AMERICAN WIRE & CABLE,OLMSTED FALLS,OH,5,QC@AWACC.COM
85019TRNWY4626N,SUPERLITE DBA TRENWYTH INDUSTRIES,PHOENIX,AZ,9,TONY.WESSEL@OLDCASTLE.COM
1906WNFNTY2PRGR,INFINITY LTL,MORRISVILLE,PA,3,RWBURKHART@AMERICHEM.COM
70634WSTVCPOBOX,INGEVITY SOUTH CAROLINA LLC,DERIDDER,LA,6,WILLIAM.B.THOMAS@INGEVITY.COM
8100WVSTST1TWER,CS WIND AMERICA,PUEBLO,CO,8,ADAMHE@CSWIND.COM
60131MRCNS10352,OLDCASTLE APG - FRANKLIN PARK,FRANKLIN PARK,IL,5,SUSANA.BARBA@OLDCASTLE.COM
12603MRCMF55PAG,MARCO BOARDHOUSE,POUGHKEEPSIE,NY,2,JHOFFMAN@MARCOBOARDHOUSE.COM
37744BLLZNBALLR,ARTAZN LLC,GREENEVILLE,TN,4,IAN.MITCHELL@ARTAZN.COM
48750TTNDS4700N,COOPER STANDARD AUTOMOTIVE INC,OSCODA,MI,5,BRADLEY.WOODS@COOPERSTANDARD.COM
02745CSHNT215DU,ACUSHNET CO BALL PLANT III,NEW BEDFORD,MA,1,KEVIN_KELLY@ACUSHNETGOLF.COM
17405NWYRK829LO,IWM - WIRE FACILITY,YORK,PA,3,BGUZZONE@IWMESH.COM
44622ZMMRP200WE,ZIMMER SURGICAL,DOVER,OH,5,JEFFREY.FERGUSON@ZIMMERBIOMET.COM
68467SNDST2800D,HAMILTON SUNDSTRAND CORP (COLLINS AEROSPACE),YORK,NE,7,DAVID.HANSON3@COLLINS.COM
7906WPMPFL821FM,PROMAN USA (PAMPA) LLC,PAMPA,TX,6,JANSEN.HANCOCK@PROMAN.ORG
29732MCMTL445BR,POSSEHL CONNECTOR SERVICES SC INC.,ROCK HILL,SC,4,MHOLLIS@POSSEHLCONNECTOR.COM
3561WMRCNL136RY,AMERICAN LEAKLESS CO LLC,ATHENS,AL,4,ERIC.SEDENSKY@AMERICANLEAKLESS.COM
75203LXTTC2465J,LUXOTTICA OPTICAL MANUFACTURING N.A. DALLAS,DALLAS,TX,6,JMCDONAL@LUXOTTICARETAIL.COM
42141RMNCX20ABE,BRAKING PRODUCTS GROUP US LLC,GLASGOW,KY,4,PATRICK.CONLEY@DRIV.COM
48176SLNNS7700M,FAURECIA INTERIOR SYSTEMS SALINE LLC,SALINE,MI,5,XERRIEN.WHITE@FORVIA.COM
45242STLCR9017B,SCHLAGE LOCK CO LLC,CINCINNATI,OH,5,MIKE.GRAVER@ALLEGION.COM
54220ZNTHS5710V,GKN SINTER METALS,MANITOWOC,WI,5,MATTHEW.MARTIN@GKNPM.COM
85210PHMNP112WI,JOY GLOBAL SURFACE MINING-MESA,MESA,AZ,9,MICK.CRISP@JOYGLOBAL.COM
91749CMCCH18383,ECOLAB INC,CITY OF INDUSTRY,CA,9,ROMAN.BLAHOSKI@ECOLAB.COM
23228MNVLL7400R,JOHNS MANVILLE CORP HAMILTON PLANT,RICHMOND,VA,3,TONY.MOORE@JM.COM
47374BLDNW350NO,BELDEN,RICHMOND,IN,5,GINETTA.COLE@BELDEN.COM
04401SRMYM3HILD,U.S. ARMY MAINE NATIONAL GUARD BANGOR TRAINING SITE RANGE,BANGOR,ME,1,NICHOLAS.R.ERICKSON4.MIL@ARMY.MIL
83303MLGMTPOBOX,AMALGAMATED SUGAR CO,TWIN FALLS,ID,10,DDELOREY@AMALSUGAR.COM
98607LNRTC4200N,ANALOG DEVICES/CAMAS SITE,CAMAS,WA,10,DOUG.MOODY@ANALOG.COM
92022MTKNC790GR,SENIOR AEROSPACE KETEMA DIV,EL CAJON,CA,9,DAVID.IVESTER@SAJETPRODUCTS.COM
60139WBSTR704EF,WEBSTER-HOFF CORP,GLENDALE HEIGHTS,IL,5,BWEBSTER@WEBSTER-HOFF.COM
31728TRRNG2525T,JTEKT BEARINGS NA LLC-CAIRO PLANT,CAIRO,GA,4,MIKE.HOBBS@JTEKT.COM
53901CLMBNW8385,COLUMBIA ENERGY CENTER,PARDEEVILLE,WI,5,ALLIANTENERGYNEWS@ALLIANTENERGY.COM
01845PHRMC70FLA,VERANOVA L.P.,NORTH ANDOVER,MA,1,ANA.CELAYAMORGAN@VERANOVA.COM
17512GRNNL1411L,ASC ENGINEERED SOLUTIONS - FKA ANVIL INTERNATIONAL,COLUMBIA,PA,3,MSTAUB@ASC-ES.COM
56215CHPPW27020,CHIPPEWA VALLEY ETHANOL CO,BENSON,MN,5,CFRIESE@CVEC.COM
07036PRMNT1515W,PARAMOUNT METAL FINISHING,LINDEN,NJ,2,KGILL@PMFNJ.COM
76427RMRNNHWY38,AERO-MARINE ENGINEERING INC,BRYSON,TX,6,TDSUTHERLAND@AME-TECHNICOAT.COM
7748WGDMNM191KE,DAIKIN COMFORT TECHNOLOGIES MANUFACTURING L.P.,WALLER,TX,6,SATARA.HENRY@GOODMANMFG.COM
00841VRGNSESTAT,CRUZAN RUM LTD.,FREDERIKSTED,VI,2,GEORGE.WILLOCK@CRUZANRUM.COM
87107GNRLT1450M,CREATION TECHNOLOGIES  (FORMERLY IEC ELECTRONICS),ALBUQUERQUE,NM,6,KARL.HOUSTON@CREATIONTECH.COM
45377LCSLD801SC,SAIA-BURGESS LLC,VANDALIA,OH,5,tabitha.neth@johnsonelectric.com
38109BRMNG3601P,NUCOR STEEL MEMPHIS INC,MEMPHIS,TN,4,ROSE.BREWER@NUCOR.COM
37406WDBRD100JU,WOODBRIDGE INOAC TECHNICAL PRODUCTS LLC,CHATTANOOGA,TN,4,JULIAN_CHAVIRA@WOODBRIDGEGROUP.COM
7757WGSNNV185EH,GAS INNOVATIONS,LA PORTE,TX,6,DMITCHELL@GASINNOVATIONS.COM
24244TMPRP4700B,TEMPUR PRODUCTION USA INC,DUFFIELD,VA,3,GREG.ROBINSON@TEMPURSEALY.COM
66542FLXLN6000S,FUTAMURA USA INC,TECUMSEH,KS,7,MELISSA.WEIDE@FUTAMURAGROUP.COM
17356GNRLD200EH,GENERAL DYNAMICS-OTS,RED LION,PA,3,TROY.BROSIOUS@GD-OTS.COM
42101KBLMN525CE,KOBELCO ALUMINUM AUTOMOTIVE PRODUCTS LLC,BOWLING GREEN,KY,4,LANE.BARRY@KOBEAL.COM
5310WPPLDM1956P,APPLIED MATERIAL SOLUTIONS,BURLINGTON,WI,5,NREBERNAK@AMSI-USA.COM
28392CRLNFHWY87,SMITHFIELD FRESH MEATS CORP - TAR HEEL,TAR HEEL,NC,4,JCSTOKER@SMITHFIELD.COM
55112MCMCR4758T,MICOM CORP,NEW BRIGHTON,MN,5,LSOWERS@MICOMCIRCUITS.COM
