V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.STATE_ABBR,V_TRI_FORM_R_EZ.ZIP_CODE,V_TRI_FORM_R_EZ.REGION,V_TRI_FORM_R_EZ.ASGN_PUBLIC_CONTACT_EMAIL,V_TRI_FORM_R_EZ.DOC_CTRL_NUM,V_TRI_FORM_R_EZ.CAS_REGISTRY_NUMBER,V_TRI_FORM_R_EZ.REPORTING_YEAR,V_TRI_FORM_R_EZ.MAX_AMOUNT_OF_CHEM,Code Expansion for Maximum Amount Of Chemical,V_TRI_FORM_R_EZ.CAS_CHEM_NAME,V_TRI_FORM_R_EZ.CARC_IND,V_TRI_FORM_R_EZ.PFAS_IND,V_TRI_FORM_R_EZ.METAL_IND,V_TRI_FORM_R_EZ.PRODUCE,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.SALE_DISTRIBUTION,V_TRI_FORM_R_EZ.BYPRODUCT,V_TRI_FORM_R_EZ.PROCESS_IMPURITY,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_IND,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_1,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_1,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_2,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.SOURCE_REDUCTION_ACT_3,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_3,V_TRI_FORM_R_EZ.INDUSTRY_CODE,V_TRI_FORM_R_EZ.INDUSTRY_DESCRIPTION
"54840BRNTT11631","BURNETT DAIRY COOPERATIVE CHEESE PLANT","GRANTSBURG","WI","54840","5","TAMMY.BERTELSEN@BURNETTDAIRY.COM","1314212390710","7697-37-2","2014","04","10000  to  99999","Nitric acid","0","N","N","0","0","0","0","0",".35","0","0","","W52","R4","W15","R5","","","311","Food"
"67217CNTRN255SC","CENTER INDUSTRIES CORP","WICHITA","KS","67217","7","NIKKIB@CENTERINDUSTRIES.COM","1318216747333","7439-92-1","2018","01","0  to  99","Lead","1","N","Y","0","0","0","0","0","0","0","0","","W49","R1","","","","","332","Fabricated Metals"
"87045MCKNLCOUNT","MCKINLEY PAPER & PACKAGING - NM PAPER MILL","PREWITT","NM","87045","6","IROSAS@BIOPAPPEL.COM","1316215150741","107-21-1","2016","04","10000  to  99999","Ethylene glycol","0","N","N","0","0","0","0","0","255","0","0","","W58","R5","","","","","322","Paper"
"98682CNTRL395NE","CONTROLTEK INC.","VANCOUVER","WA","98682","10","SEAN.NEILL@VEXOS.COM","1324223050206","7439-92-1","2024","02","100  to  999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S06","R2","","","","","334","Computers and Electronic Products"
"44278CHMNC390MU","PROTECH POWDER COATINGS DBA CHEMIONICS CORP","TALLMADGE","OH","44278","5","KKAVALCHEK@THEPROTECHGROUP.COM","1322220742819","N420","2022","03","1000  to  9999","Lead compounds","0","N","Y","0","0","0","0","0","30","0","0","","S11","R3","","","","","325","Chemicals"
"0156WLNZMR63DUG","LENZE AMERICAS CORP","UXBRIDGE","MA","01569","1","JAROD.SARNO@LENZE.COM","1316215795232","N420","2016","02","100  to  999","Lead compounds","0","N","Y","1","0","0","1","0",".3","0","0","","W82","R3","","","","","333","Machinery"
"7505WLTCRT1711B","LATICRETE INTERNATIONAL INC. GRAND PRAIRIE","GRAND PRAIRIE","TX","75050","6","EBEHN@LATICRETE.COM","1319218116693","554-13-2","2019","04","10000  to  99999","Lithium carbonate","0","N","N","0","0","0","0","0","20","0","0","","W53","R5","","","","","325","Chemicals"
"7702WNLSTL95CLI","O'NEAL STEEL INC","HOUSTON","TX","77029","6","WBRITTAIN@ONEALMFG.COM","1315214339208","7440-02-0","2015","04","10000  to  99999","Nickel","1","N","Y","0","0","0","0","0","0","0","0","","W13","R6","W14","R6","","","332","Fabricated Metals"
"50595VNDSTOLDHW","VAN DIEST SUPPLY CO","WEBSTER CITY","IA","50595","7","LEE.TRASK@VDSC.COM","1321220041887","1918-00-9","2021","06","1000000  to  9999999","Dicamba","0","N","N","0","0","0","0","0","2445","0","0","","S25","R6","","","","","325","Chemicals"
"15301WSTPN2833W","WEST PENN WIRE/CDT - WA","WASHINGTON","PA","15301","3","DEREK.WAGNER@BELDEN.COM","1319217694191","N010","2019","03","1000  to  9999","Antimony compounds","0","N","Y","0","0","0","0","0","0","0","0","","W52","R6","","","","","335","Electrical Equipment"
"1566WQNNRG11TEC","AQUION ENERGY INC","MOUNT PLEASANT","PA","15666","3","JWHITACRE@AQUION-ENERGY.COM","1316215589538","N450","2016","04","10000  to  99999","Manganese compounds","0","N","Y","0","1","0","0","0","169","0","0","","W19","R5","","","","","335","Electrical Equipment"
"12138TCNCPCOONB","TONOGA INC DBA TACONIC","PETERSBURGH","NY","12138","2","TIMK@4TACONIC.COM","1317215842271","100-41-4","2017","03","1000  to  9999","Ethylbenzene","1","N","N","0","0","0","0","0","284.4","0","0","","W13","R6","","","","","313","Textiles"
"1335WRMRMS14HEF","REMARMS LLC","ILION","NY","13357","2","PAUL.BOMAN@REMARMS.COM","1323221955418","N420","2023","03","1000  to  9999","Lead compounds","0","N","Y","0","0","0","0","0",".96","2.8","0","","S04","R6","","","","","332","Fabricated Metals"
"44483JXTCC1745V","AJAX TOCCO WARREN OHIO PLANT","WARREN","OH","44483","5","RCUTSHALL@AJAXTOCCO.COM","1324223196546","MIXTURE","2024","04","10000  to  99999","Mixture","0","N","N","0","1","1","0","0","5","5","0","","S25","R6","","","","","333","Machinery"
"44460WRRNM800PE","VENTRA SALEM LLC.","SALEM","OH","44460","5","MWOLFORD@FLEXNGATE.COM","1323221982111","108-88-3","2023","03","1000  to  9999","Toluene","0","N","N","0","0","0","0","0","6567","0","0","","S21","R5","","","","","326","Plastics and Rubber"
"27409MPNCB719PE","TE CONNECTIVITY - PEGG ROAD","GREENSBORO","NC","27409","4","MICHELLE.KAREIS@TE.COM","1322221311323","7439-96-5","2022","04","10000  to  99999","Manganese","0","N","Y","0","0","0","0","0",".005","0","0","","S21","R6","","","","","336","Transportation Equipment"
"3764WCLRWR151ID","COLORWORKS INC","ELIZABETHTON","TN","37643","4","SAM@COLORWORKS.COM","1319218448759","7664-41-7","2019","04","10000  to  99999","Ammonia","0","N","N","0","0","0","0","0","7404","0","0","","W39","R6","","","","","314","Textile Product"
"36105HGRHN150FO","HAGER COS","MONTGOMERY","AL","36105","4","LROHRBACH@HAGERCO.COM","1318217221605","N090","2018","04","10000  to  99999","Chromium compounds (except for chromite ore mined in the Transvaal Region)","0","N","Y","0","0","0","0","0",".000055","0","0","","W13","R6","W29","","","","332","Fabricated Metals"
"01821MRCNS829MI","AMERICAN SCIENCE & ENGINEERING","BILLERICA","MA","01821","1","LSCAGLIONE@RAPISCAN.COM","1324223092356","7439-92-1","2024","04","10000  to  99999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S35","R5","","","","","334","Computers and Electronic Products"
"35616RCCRBPOBOX","MESSER LLC","CHEROKEE","AL","35616","4","PHILLIP.JAMISON@MESSER-US.COM","1319217835418","7664-41-7","2019","03","1000  to  9999","Ammonia","0","N","N","0","0","0","0","0","5289","0","0","","W39","R5","","","","","325","Chemicals"
"44105FRRCR4150E","VIBRANTZ CORP","CLEVELAND","OH","44105","5","ANDREA.SIMONIN@VIBRANTZ.COM","1318216880803","554-13-2","2018","05","100000  to  999999","Lithium carbonate","0","N","N","0","0","0","0","0","6.3","34.2","0","","W82","R2","","","","","325","Chemicals"
"77833CLNRS2001E","QUESTSPECIALTY CORP","BRENHAM","TX","77833","6","MITCHW@QUESTSPECIALTY.COM","1316215234574","75-09-2","2016","04","10000  to  99999","Dichloromethane","1","N","N","0","0","0","0","0","2287","0","0","","W52","R6","","","","","325","Chemicals"
"49022SMTCN470NP","PRIMETALS TECHNOLOGIES USA LLC","BENTON HARBOR","MI","49022","5","DANIE.DEVAPIRIAM@PRIMETALS.COM","1318217224625","7440-47-3","2018","03","1000  to  9999","Chromium","0","N","Y","0","0","0","0","0","0","0","0","","W58","R2","","","","","332","Fabricated Metals"
"55720PTLTCNORTH","SAPPI CLOQUET LLC","CLOQUET","MN","55720","5","APRIL.JONES@SAPPI.COM","1317216206235","67-56-1","2017","07","10000000  to  49999999","Methanol","0","N","N","1","0","0","1","0","134809","0","0","","W19","R4","","","","","322","Paper"
"14845HRDNG3575O","FORKARDT HARDINGE","ELMIRA","NY","14903","2","CHRISTOPHER.LUNDGREN@FORKARDTHARDINGE.COM","1323221943970","7439-92-1","2023","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0","0","0","0","","S06","R1","","","","","333","Machinery"
"42420GBBSDUS60W","GIBBS DIE CASTING CORP","HENDERSON","KY","42420","4","KEITH.SUTTON@GIBBSDC.COM","1314211898693","N106","2014","03","1000  to  9999","Cyanide compounds","0","N","N","0","0","0","0","0","250","0","0","","W13","R3","","","","","331","Primary Metals"
"2383WSBRDP159SA","SABRA DIPPING CO LLC","COLONIAL HEIGHTS","VA","23834","3","JFRISCO@SABRA.COM","1320219396835","N511","2020","02","100  to  999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","1","0","0","1","0","0","0","0","","W71","R2","","","","","311","Food"
"77640FNLNDHIGHW","TOTALENERGIES PETROCHEMICALS & REFINING USA INC-PORT ARTHUR","PORT ARTHUR","TX","77642","6","KRISTOPHER.BEARD@TOTALENERGIES.COM","1314213149913","7783-06-4","2014","05","100000  to  999999","Hydrogen sulfide","0","N","N","1","0","0","1","1","7420.72","0","1346.46","","W19","R6","","","","","324","Petroleum"
"92355BNNZL11711","SIERRA ALUMINUM CO PLANT II","FONTANA","CA","92337","9","MIGUEL.ARMETA@SAMUEL.COM","1317215867882","100-41-4","2017","02","100  to  999","Ethylbenzene","1","N","N","0","0","0","0","0","863.551","0","0","","W42","R4","","","","","331","Primary Metals"
"45231PRKWY10293","AXILLON AEROSPACE (ERLANGER) LLC","CINCINNATI","OH","45231","5","EMILY.RAY@PARKER.COM","1315214453615","101-14-4","2015","04","10000  to  99999","4,4'-Methylenebis(2-chloroaniline)","1","N","N","0","0","0","0","0","8","0","0","","W43","R4","","","","","326","Plastics and Rubber"
"14432GWLSK2SOUT","GW LISK CO INC","CLIFTON SPRINGS","NY","14432","2","AHAWKER@GWLISK.COM","1319218140832","106-94-5","2019","04","10000  to  99999","1-Bromopropane","1","N","N","0","0","0","0","0","297.72","0","0","","W61","R4","","","","","332","Fabricated Metals"
"02184WLLST205WO","WOLLASTON ALLOYS","BRAINTREE","MA","02184","1","DREW.DEFAZIO@CPPCORP.COM","1317216400337","7440-47-3","2017","05","100000  to  999999","Chromium","0","N","Y","0","0","0","0","0","13","3","0","","W15","R6","","","","","331","Primary Metals"
"49015PRNYF126BR","PRARIE FARMS DAIRY INC","BATTLE CREEK","MI","49037","5","JEMERY@PRAIRIEFARMS.COM","1316215636109","79-21-0","2016","02","100  to  999","Peracetic acid","0","N","N","0","0","0","0","0","0","0","0","","W19","R6","","","","","311","Food"
"95828CRMCR59508","CHROME CRAFT","SACRAMENTO","CA","95828","9","SAFETY@CUTTINGEDGESUPPLY.COM","1317216138774","N420","2017","04","10000  to  99999","Lead compounds","0","N","Y","1","1","0","1","1","0","0","0","","W42","R4","","","","","332","Fabricated Metals"
"16749QKRSTINTER","INTERNATIONAL WAXES INC","SMETHPORT","PA","16749","3","DGOLDSMITH@IGIWAX.COM","1320219034307","N590","2020","03","1000  to  9999","Polycyclic aromatic compounds","1","N","N","1","0","0","1","0",".005","0","0","","W19","R6","","","","","324","Petroleum"
"75041CRRLL2900W","CARROLLCLEAN LLC","GARLAND","TX","75041","6","RKEELER@FGLGROUP.COM","1320219049121","N535","2020","04","10000  to  99999","Nonylphenol Ethoxylates","0","N","N","0","0","0","0","0","0","0","0","","W82","R5","","","","","325","Chemicals"
"83338JRMCH47W10","AGROPUR","JEROME","ID","83338","10","ERIC.GRACIDA@AGROPUR.COM","1320219241888","N511","2020","05","100000  to  999999","Nitrate compounds (water dissociable; reportable only when in aqueous solution)","0","N","N","1","0","0","1","0","0","0","0","","W52","R4","","","","","311","Food"
"85281GLDTC1450E","GOLD TECH INDUSTRIES - AEROSPACE/TELECOMMUNICATIONS DIVISION","TEMPE","AZ","85288","9","MARK_DUSCHEK@C-HAWK.COM","1321220405068","7697-37-2","2021","03","1000  to  9999","Nitric acid","0","N","N","0","0","0","0","0","23","0","0","","S24","R6","","","","","332","Fabricated Metals"
"30188NTRNT308BE","BOCA MFG","WOODSTOCK","GA","30188","4","AMCCOY@BOCAMFG.COM","1321220209086","100-42-5","2021","04","10000  to  99999","Styrene","1","N","N","0","0","0","0","0","7894","0","0","","S44","R6","","","","","326","Plastics and Rubber"
"43055NMTCC1650T","ANOMATIC CORP","NEWARK","OH","43055","5","CSTOLER@ANOMATIC.COM","1314212689804","N495","2014","03","1000  to  9999","Nickel compounds","1","N","Y","0","0","0","0","0","0","0","0","","W58","R3","","","","","332","Fabricated Metals"
"3731WPLRTC31IND","POLARTEC TENNESSEE MANUFACTURING","CLEVELAND","TN","37311","4","BETSY.SIKMA@MILLIKEN.COM","1323221914157","N230","2023","03","1000  to  9999","Certain glycol ethers","0","N","N","0","0","0","0","0","3197","0","0","","S42","R5","","","","","313","Textiles"
"01930CBFSK18KON","CB FISK INC","GLOUCESTER","MA","01930","1","CARLKLEIN@CBFISK.COM","1315213974417","7439-92-1","2015","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0",".04","0","0","","W51","R5","","","","","339","Miscellaneous Manufacturing"
"0810WKRSHN1HLTE","KRISHNA P.SINGH TECHNOLOGY CAMPUS","CAMDEN","NJ","08104","2","CHADCODA@HOLTECMFG.COM","1320218950741","7439-96-5","2020","05","100000  to  999999","Manganese","0","N","Y","0","0","0","0","0",".007","0","0","","W19","R3","","","","","332","Fabricated Metals"
"03856THKNGROUTE","HUTCHINSON SEALING SYSTEMS INC","NEWFIELDS","NH","03856","1","GARY.SMART@HUTCHINSON.COM","1320219270749","7440-02-0","2020","03","1000  to  9999","Nickel","1","N","Y","0","0","0","0","0","0","0","0","","W58","R6","","","","","326","Plastics and Rubber"
"54476CRYST2608R","CRYSTAL FINISHING SYSTEMS INC","SCHOFIELD","WI","54476","5","LEE.BERGMANN@CRYSTALFINISHING.COM","1317216138709","71-36-3","2017","03","1000  to  9999","n-Butyl alcohol","0","N","N","0","0","0","0","0","12657","0","0","","W61","R3","","","","","332","Fabricated Metals"
"98270RCLLN12806","C&D ZODIAC INC","MARYSVILLE","WA","98271","10","CESAR-A.GONZALEZ-R@SAFRANGROUP.COM","1317216604898","67-56-1","2017","03","1000  to  9999","Methanol","0","N","N","0","0","0","0","0","2649","0","0","","W33","R6","W29","R6","","","336","Transportation Equipment"
"2808WBCKYFPBX42","BUCKEYE FIRE EQUIPMENT","KINGS MOUNTAIN","NC","28086","4","JVALENTINE@BUCKEYEF.COM","1319218350559","7439-96-5","2019","04","10000  to  99999","Manganese","0","N","Y","0","0","0","0","1","0","0","0","","W58","R6","","","","","332","Fabricated Metals"
"32905FRRSR2210W","FAR RESEARCH INC. (DBA FAR CHEMICAL INC.)","PALM BAY","FL","32905","4","BSAUTTER@FAR-CHEMICAL.COM","1317216217733","1330-20-7","2017","04","10000  to  99999","Xylene (mixed isomers)","0","N","N","0","0","0","0","0","30","0","0","","W14","R5","","","","","325","Chemicals"
"03062TRDYN4PITT","AMPHENOL APC INC","NASHUA","NH","03062","1","KWHITCOMB@AMPHENOL-APCBT.COM","1320218888319","7647-01-0","2020","02","100  to  999","Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)","0","N","N","1","0","0","0","0","8.15","0","0","","W13","R6","","","","","334","Computers and Electronic Products"
"45216FRSFR110EA","GIVAUDAN FLAVORS CORP","CINCINNATI","OH","45216","5","CARLA.LANDON@GIVAUDAN.COM","1318217466820","75-07-0","2018","04","10000  to  99999","Acetaldehyde","1","N","N","0","0","0","0","0","230","0","0","","W39","R6","","","","","311","Food"
"01752SHPLY455FO","DUPONT ELECTRONIC MATERIALS INTERNATIONAL LLC","MARLBOROUGH","MA","01752","1","ELLEN.MAGER@DUPONT.COM","1318217285131","67-56-1","2018","04","10000  to  99999","Methanol","0","N","N","0","1","0","0","1","18","0","0","","W58","R3","","","","","325","Chemicals"
"03801SMPLX4023W","SUBCOM CABLE SYSTEMS LLC","NEWINGTON","NH","03801","1","KNEWBURY@SUBCOM.COM","1317215946118","N590","2017","01","0  to  99","Polycyclic aromatic compounds","1","N","N","0","0","0","0","0","2.92","0","0","","W89","R5","","","","","334","Computers and Electronic Products"
"48220GGPRD625WA","GAGE PRODUCTS CO","FERNDALE","MI","48220","5","BHARDEN@GAGEPRODUCTS.COM","1314212555926","N230","2014","04","10000  to  99999","Certain glycol ethers","0","N","N","0","0","0","0","1","107","0","0","","W15","R6","","","","","325","Chemicals"
"01950NNSPC3MALC","UNION SPECIALTIES INC","NEWBURYPORT","MA","01950","1","JOEMARSHALL@UNIONSPECIALTIESINC.COM","1322220660245","N230","2022","04","10000  to  99999","Certain glycol ethers","0","N","N","0","0","0","0","0","79","0","0","","S02","R5","","","","","325","Chemicals"
"55720PTLTCNORTH","SAPPI CLOQUET LLC","CLOQUET","MN","55720","5","APRIL.JONES@SAPPI.COM","1322221346226","67-56-1","2022","07","10000000  to  49999999","Methanol","0","N","N","1","0","0","1","0","101445","0","0","","S41","R3","","","","","322","Paper"
"84087CRYSN2355S","SILVER EAGLE REFINING WOODS CROSS","WOODS CROSS","UT","84087","8","BZWAHLEN@SILVEREAGLEREFINING.COM","1315213716071","110-82-7","2015","04","10000  to  99999","Cyclohexane","0","N","N","1","0","1","0","0","848.41","0","0","","W52","R3","","","","","324","Petroleum"
"06492MRCNCSOUTH","ALLNEX USA INC. WALLINGFORD CT SITE","WALLINGFORD","CT","06492","1","VIRGINIA.RYAN@ALLNEX.COM","1315214245894","67-56-1","2015","06","1000000  to  9999999","Methanol","0","N","N","0","1","0","0","0","8308","4826","0","","W39","R6","","","","","325","Chemicals"
"54216THVLL23KIL","VOLLRATH CO LLC","KEWAUNEE","WI","54216","5","JGIRARD@VOLLRATHCO.COM","1314212881421","7440-47-3","2014","04","10000  to  99999","Chromium","0","N","Y","0","0","0","0","0","27","0","0","","W50","R6","","","","","332","Fabricated Metals"
"77253FMCWL1777G","FMC ENERGY SYSTEMS","HOUSTON","TX","77067","6","AYUK.ETTA@TECHNIPFMC.COM","1315214325159","107-21-1","2015","05","100000  to  999999","Ethylene glycol","0","N","N","0","0","0","0","0","36","72","0","","W21","R3","W19","","","","333","Machinery"
"99337SNDVKCHEMI","ALLEIMA SPECIAL METALS LLC","KENNEWICK","WA","99337","10","DEVIN.JOHNSTON@ALLEIMA.COM","1319218260560","7664-39-3","2019","04","10000  to  99999","Hydrogen fluoride","0","N","N","0","0","0","0","0","298","5","0","","W89","R3","","","","","331","Primary Metals"
"2945WTTKLB413CA","LINCOLN ELECTRIC-LADSON (KALIBURN INC.)","LADSON","SC","29456","4","JESSE_WILSON@LINCOLNELECTRIC.COM","1319217630161","7440-50-8","2019","04","10000  to  99999","Copper","0","N","Y","0","0","0","0","0","0","0","0","","W49","R5","","","","","333","Machinery"
"03062TRDYN4PITT","AMPHENOL APC INC","NASHUA","NH","03062","1","KWHITCOMB@AMPHENOL-APCBT.COM","1319217852348","N100","2019","04","10000  to  99999","Copper compounds","0","N","Y","1","0","0","1","0","0","1.391","0","","W19","R5","W13","R6","","","334","Computers and Electronic Products"
"46526BNTLR910SE","GROUPER WILD LLC DBA SHILOH HOT STAMPING","GOSHEN","IN","46526","5","JOSEPH.ARCHER@SHILOH.COM","1322221698576","7440-02-0","2022","04","10000  to  99999","Nickel","1","N","Y","0","0","0","0","0","0","0","0","","S21","R5","","","","","336","Transportation Equipment"
"56511TMNDSFRTHR","TEAM INDUSTRIES-AUDUBON","AUDUBON","MN","56511","5","PATMURRAY@TEAM-IND.COM","1315214357865","7440-02-0","2015","03","1000  to  9999","Nickel","1","N","Y","0","0","0","0","0","0","0","0","","W58","R6","","","","","332","Fabricated Metals"
"93662FRSNV7736E","FRESNO VALVES & CASTINGS INC.","SELMA","CA","93662","9","KEVINCF@FRESNOVALVES.COM","1321220027270","7440-50-8","2021","05","100000  to  999999","Copper","0","N","Y","0","0","0","0","0","61.139","0","0","","S21","R6","","","","","331","Primary Metals"
"9300WMGNSN199KN","MAGNUSON SUPERCHARGERS","VENTURA","CA","93003","9","TFOSTER@MAGNUSONSUPERCHARGERS.COM","1324222431684","N120","2024","04","10000  to  99999","Diisocyanates","0","N","N","0","0","0","0","0","0","0","0","","S13","R6","","","","","336","Transportation Equipment"
"60174SYSTM3825O","SYSTEM SENSOR/HONEYWELL","SAINT CHARLES","IL","60174","5","DAVID.GEORGE2@HONEYWELL.COM","1314212703767","7439-92-1","2014","03","1000  to  9999","Lead","1","N","Y","0","0","0","0","0",".0407","0","0","","W42","R3","","","","","334","Computers and Electronic Products"
"27604MLLNC8801N","MALLINCKRODT PHARMACEUTICALS","RALEIGH","NC","27616","4","TIM.ROBERTS@MNK.COM","1315213803517","62-53-3","2015","05","100000  to  999999","Aniline","1","N","N","1","0","1","1","0","7607","0","0","","W39","R6","","","","","325","Chemicals"
"81001SHLND250WI","FUJIFILM ELECTRONIC MATERIALS U.S. INC.","PUEBLO","CO","81001","8","KALISHA.SIMPSON@FUJIFILM.COM","1314212560294","7664-41-7","2014","06","1000000  to  9999999","Ammonia","0","N","N","1","0","1","0","0","1980","0","0","","W22","R4","W15","","","","325","Chemicals"
"60007PNRYC1801E","PENRAY COS INC","ELK GROVE VILLAGE","IL","60007","5","MATT.CARTER@PLZCORP.COM","1316215044090","N230","2016","04","10000  to  99999","Certain glycol ethers","0","N","N","0","0","0","0","0","40.179567","0","0","","W13","R6","","","","","325","Chemicals"
"72209TRNRC691IN","HILAND DAIRY","LITTLE ROCK","AR","72209","6","MFLAGG@HILANDDAIRY.COM","1317215906948","7697-37-2","2017","03","1000  to  9999","Nitric acid","0","N","N","0","0","0","0","0","0","0","0","","W14","R6","","","","","311","Food"
"94086SRRPR1108W","SIERRA CIRCUITS INC (DBA SIERRA PROTO EXPRESS)","SUNNYVALE","CA","94086","9","HAID@PROTOEXPRESS.COM","1316215087584","N100","2016","04","10000  to  99999","Copper compounds","0","N","Y","1","0","0","1","0","0","0","0","","W13","R6","","","","","334","Computers and Electronic Products"
